class,artist,album,track,track number,file_path
classical,american_baroque,dances_and_suites_of_rameau_an,air_suite_from_les_fetes_d_he,16,classical/american_baroque/dances_and_suites_of_rameau_an/16-air_suite_from_les_fetes_d_he.wav
classical,american_baroque,dances_and_suites_of_rameau_an,air_vif_de_lacdemoniens_suite,30,classical/american_baroque/dances_and_suites_of_rameau_an/30-air_vif_de_lacdemoniens_suite.wav
classical,american_baroque,dances_and_suites_of_rameau_an,l_oracle_suite_in_d_from_les,26,classical/american_baroque/dances_and_suites_of_rameau_an/26-l'oracle_suite_in_d_from_les.wav
classical,american_baroque,dances_and_suites_of_rameau_an,la_victoire_suite_in_d_from_l,28,classical/american_baroque/dances_and_suites_of_rameau_an/28-la_victoire_suite_in_d_from_l.wav
classical,american_baroque,dances_and_suites_of_rameau_an,les_fauvetes_plaintives_xivem,21,classical/american_baroque/dances_and_suites_of_rameau_an/21-les_fauvetes_plaintives_xivem.wav
classical,american_baroque,dances_and_suites_of_rameau_an,musette_suite_from_les_fetes,4,classical/american_baroque/dances_and_suites_of_rameau_an/4-musette_suite_from_les_fetes.wav
classical,american_baroque,dances_and_suites_of_rameau_an,pour_le_genie_de_mars_suite_i,27,classical/american_baroque/dances_and_suites_of_rameau_an/27-pour_le_genie_de_mars_suite_i.wav
classical,american_baroque,dances_and_suites_of_rameau_an,ritournelle_suite_from_les_fe,7,classical/american_baroque/dances_and_suites_of_rameau_an/7-ritournelle_suite_from_les_fe.wav
classical,american_baroque,four_seasons_by_vivaldi,concerto_no_1_in_d_major_rv_2,1,classical/american_baroque/the_four_seasons_by_vivaldi/1-concerto_no.1_in_d_major_rv_2.wav
classical,american_baroque,four_seasons_by_vivaldi,concerto_no_2_in_g_minor_rv_3,5,classical/american_baroque/the_four_seasons_by_vivaldi/5-concerto_no.2_in_g_minor_rv_3.wav
classical,american_baroque,four_seasons_by_vivaldi,concerto_no_3_in_f_major_rv_2,9,classical/american_baroque/the_four_seasons_by_vivaldi/9-concerto_no.3_in_f_major_rv_2.wav
classical,andreas_haefliger,mozart_piano_sonatas,sonata_in_b_flat_minor_kv_570,7,classical/andreas_haefliger/mozart_piano_sonatas/7-sonata_in_b_flat_minor_kv_570.wav
classical,andreas_haefliger,mozart_piano_sonatas,sonata_in_c_major_kv_545,5,classical/andreas_haefliger/mozart_piano_sonatas/5-sonata_in_c_major_kv_545.wav
classical,andreas_haefliger,mozart_piano_sonatas,sonata_in_d_major_kv_576,12,classical/andreas_haefliger/mozart_piano_sonatas/12-sonata_in_d_major_kv_576.wav
classical,briddes_roune,lenten_is_come,ar_ne_kuth_ich_sorghe_non,2,classical/briddes_roune/lenten_is_come/2-ar_ne_kuth_ich_sorghe_non.wav
classical,briddes_roune,lenten_is_come,man_mai_longe_lives_weene,6,classical/briddes_roune/lenten_is_come/6-man_mai_longe_lives_weene.wav
classical,brook_street_band,handel_oxford_water_music,corelli_trio_sonata_op_1_no,12,classical/brook_street_band/handel_oxford_water_music/12-corelli_trio_sonata_op._1_no..wav
classical,brook_street_band,handel_oxford_water_music,handel_oxford_water_music_suit,18,classical/brook_street_band/handel_oxford_water_music/18-handel_oxford_water_music_suit.wav
classical,brook_street_band,handel_oxford_water_music,handel_oxford_water_music_suit,22,classical/brook_street_band/handel_oxford_water_music/22-handel_oxford_water_music_suit.wav
classical,brook_street_band,handel_oxford_water_music,handel_trio_sonata_op_2_no_3,26,classical/brook_street_band/handel_oxford_water_music/26-handel_trio_sonata_op._2_no._3.wav
classical,brook_street_band,handel_oxford_water_music,handel_trio_sonata_op_5_no_4,1,classical/brook_street_band/handel_oxford_water_music/1-handel_trio_sonata_op._5_no.4.wav
classical,brook_street_band,handel_oxford_water_music,leclair_premier_recreation_de,5,classical/brook_street_band/handel_oxford_water_music/5-leclair_premier_recreation_de.wav
classical,brook_street_band,handel_oxford_water_music,leclair_premier_recreation_de,9,classical/brook_street_band/handel_oxford_water_music/9-leclair_premier_recreation_de.wav
classical,doc_rossi,demarzi_6_sonatas_for_cetra_o_kitara,orange_rogue_trad_arr_r,17,classical/doc_rossi/demarzi-6_sonatas_for_cetra_o_kitara/17-the_orange_rogue_(trad._arr._r.wav
classical,doc_rossi,demarzi_6_sonatas_for_cetra_o_kitara,sonata_i_minuet,3,classical/doc_rossi/demarzi-6_sonatas_for_cetra_o_kitara/3-sonata_i_minuet.wav
classical,doc_rossi,demarzi_6_sonatas_for_cetra_o_kitara,sonata_ii_minuet,8,classical/doc_rossi/demarzi-6_sonatas_for_cetra_o_kitara/8-sonata_ii_minuet.wav
classical,doc_rossi,demarzi_6_sonatas_for_cetra_o_kitara,sonata_iii_moderato,10,classical/doc_rossi/demarzi-6_sonatas_for_cetra_o_kitara/10-sonata_iii_moderato.wav
classical,doc_rossi,demarzi_6_sonatas_for_cetra_o_kitara,sonata_v_allegro,19,classical/doc_rossi/demarzi-6_sonatas_for_cetra_o_kitara/19-sonata_v_allegro.wav
classical,doc_rossi,demarzi_6_sonatas_for_cetra_o_kitara,sonata_vi_largo,22,classical/doc_rossi/demarzi-6_sonatas_for_cetra_o_kitara/22-sonata_vi_largo.wav
classical,dufay_collective,cancionero,baxa_de_contrapunto,7,classical/dufay_collective/cancionero/7-baxa_de_contrapunto.wav
classical,dufay_collective,cancionero,differencias_sobr_el_canto,8,classical/dufay_collective/cancionero/8-differencias_sobr'el_canto.wav
classical,dufay_collective,cancionero,fabordon_del_primer_tono,20,classical/dufay_collective/cancionero/20-fabordon_del_primer_tono.wav
classical,dufay_collective,cancionero,la_spagna,22,classical/dufay_collective/cancionero/22-la_spagna.wav
classical,dufay_collective,cancionero,mi_libertad_en_sosiego,17,classical/dufay_collective/cancionero/17-mi_libertad_en_sosiego.wav
classical,dufay_collective,cancionero,pase_el_agoa_ma_julieta,30,classical/dufay_collective/cancionero/30-pase_el_agoa_ma_julieta.wav
classical,dufay_collective,cancionero,que_faray_ie_mal_fortune,21,classical/dufay_collective/cancionero/21-que_faray_ie_mal_fortune.wav
classical,dufay_collective,cancionero,ya_cantan_los_gallos,12,classical/dufay_collective/cancionero/12-ya_cantan_los_gallos.wav
classical,dufay_collective,l_estampida,english_danse,2,classical/dufay_collective/a_l'estampida/2-english_danse.wav
classical,dufay_collective,l_estampida,estampie_robertsbridge_codex,6,classical/dufay_collective/a_l'estampida/6-estampie_(robertsbridge_codex).wav
classical,dufay_collective,l_estampida,salterello,11,classical/dufay_collective/a_l'estampida/11-salterello.wav
classical,edward_martin,art_of_the_lute_in_renaissance,aupres_de_vous_sermisy,13,classical/edward_martin/art_of_the_lute_in_renaissance/13-aupres_de_vous_(sermisy).wav
classical,edward_martin,art_of_the_lute_in_renaissance,branle_gay_c_est_mon_amy_attaignant,17,classical/edward_martin/art_of_the_lute_in_renaissance/17-branle_gay_c'est_mon_amy_(attaignant).wav
classical,edward_martin,art_of_the_lute_in_renaissance,branle_poictou_attaingnant,31,classical/edward_martin/art_of_the_lute_in_renaissance/31-branle_poictou_(attaingnant).wav
classical,edward_martin,art_of_the_lute_in_renaissance,fantasia_xviii_de_rippe,14,classical/edward_martin/art_of_the_lute_in_renaissance/14-fantasia_xviii_(de_rippe).wav
classical,edward_martin,art_of_the_lute_in_renaissance,guillarde_milanoise_morlaye,10,classical/edward_martin/art_of_the_lute_in_renaissance/10-guillarde_milanoise_(morlaye).wav
classical,edward_martin,art_of_the_lute_in_renaissance,il_me_souffit_sermisy,34,classical/edward_martin/art_of_the_lute_in_renaissance/34-il_me_souffit_(sermisy).wav
classical,edward_martin,art_of_the_lute_in_renaissance,mill_regretz_josquin,32,classical/edward_martin/art_of_the_lute_in_renaissance/32-mill_regretz_(josquin).wav
classical,edward_martin,art_of_the_lute_in_renaissance,prelude_phalese,1,classical/edward_martin/art_of_the_lute_in_renaissance/1-prelude_(phalese).wav
classical,edward_martin,art_of_the_lute_in_renaissance,sixiesme_branle_de_bourgogne,29,classical/edward_martin/art_of_the_lute_in_renaissance/29-sixiesme_branle_de_bourgogne_(.wav
classical,edward_martin,baroque_lute_duets,duets_for_2_lutes_in_a_minor_a,7,classical/edward_martin/baroque_lute_duets/7-duets_for_2_lutes_in_a_minor_a.wav
classical,edward_martin,baroque_lute_duets,sonata_in_c_major_weiss_la,3,classical/edward_martin/baroque_lute_duets/3-sonata_in_c_major_(weiss)_-_la.wav
classical,edward_martin,baroque_lute_duets,suite_for_2_lutes_in_bb_baron,12,classical/edward_martin/baroque_lute_duets/12-suite_for_2_lutes_in_bb_(baron.wav
classical,edward_martin,luis_milan_el_maestro,fantasia_11,11,classical/edward_martin/luis_milan_-_el_maestro/11-fantasia_11.wav
classical,edward_martin,luis_milan_el_maestro,fantasia_4,4,classical/edward_martin/luis_milan_-_el_maestro/4-fantasia_4.wav
classical,edward_martin,luis_milan_el_maestro,fantasia_8,8,classical/edward_martin/luis_milan_-_el_maestro/8-fantasia_8.wav
classical,edward_martin,virtues_and_vices,ces_facheux_sotz_anon,4,classical/edward_martin/virtues_and_vices/4-ces_facheux_sotz_(anon).wav
classical,edward_martin,virtues_and_vices,de_profundis_pierre_certon,8,classical/edward_martin/virtues_and_vices/8-de_profundis_(pierre_certon).wav
classical,edward_martin,virtues_and_vices,i_care_not_for_these_ladies_thomas_campian,10,classical/edward_martin/virtues_and_vices/10-i_care_not_for_these_ladies_(thomas_campian).wav
classical,edward_martin,virtues_and_vices,kinah_anon,16,classical/edward_martin/virtues_and_vices/16-kinah_(anon).wav
classical,edward_martin,virtues_and_vices,qui_veut_chasser_une_migraine_g_bataille,21,classical/edward_martin/virtues_and_vices/21-qui_veut_chasser_une_migraine_(g._bataille).wav
classical,elizabeth_wolff,moments_musicaux,moritz_moszkowski_3_moments,7,classical/elizabeth_wolff/moments_musicaux/7-moritz_moszkowski_-_3_moments.wav
classical,elizabeth_wolff,moments_musicaux,moritz_moszkowski_4_moments,11,classical/elizabeth_wolff/moments_musicaux/11-moritz_moszkowski_-_4_moments.wav
classical,elizabeth_wolff,moments_musicaux,sergei_rachmaninoff_6_moment,2,classical/elizabeth_wolff/moments_musicaux/2-sergei_rachmaninoff_-_6_moment.wav
classical,elizabeth_wolff,moments_musicaux,sergei_rachmaninoff_6_moment,6,classical/elizabeth_wolff/moments_musicaux/6-sergei_rachmaninoff_-_6_moment.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_i,tamerlano_act_i_track_12,12,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_i/12-tamerlano_act_i_track_12.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_i,tamerlano_act_i_track_16,16,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_i/16-tamerlano_act_i_track_16.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_i,tamerlano_act_i_track_2,2,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_i/2-tamerlano_act_i_track_2.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_i,tamerlano_act_i_track_4,4,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_i/4-tamerlano_act_i_track_4.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_i,tamerlano_act_i_track_8,8,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_i/8-tamerlano_act_i_track_8.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_i_track_11,11,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/11-tamerlano_act_i_track_11.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_i_track_15,15,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/15-tamerlano_act_i_track_15.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_i_track_19,19,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/19-tamerlano_act_i_track_19.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_i_track_3,3,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/3-tamerlano_act_i_track_3.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_i_track_7,7,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/7-tamerlano_act_i_track_7.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_ii_track_10,10,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/10-tamerlano_act_ii_track_10.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_ii_track_14,14,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/14-tamerlano_act_ii_track_14.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_ii_track_18,18,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/18-tamerlano_act_ii_track_18.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_ii_track_21,21,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/21-tamerlano_act_ii_track_21.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_ii_track_4,4,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/4-tamerlano_act_ii_track_4.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_ii,tamerlano_act_ii_track_8,8,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_ii/8-tamerlano_act_ii_track_8.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_iii,tamerlano_act_iii_track_11,11,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_iii/11-tamerlano_act_iii_track_11.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_iii,tamerlano_act_iii_track_15,15,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_iii/15-tamerlano_act_iii_track_15.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_iii,tamerlano_act_iii_track_19,19,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_iii/19-tamerlano_act_iii_track_19.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_iii,tamerlano_act_iii_track_22,22,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_iii/22-tamerlano_act_iii_track_22.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_iii,tamerlano_act_iii_track_3,3,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_iii/3-tamerlano_act_iii_track_3.wav
classical,english_concert_with_trevor_pinnock,handel_tamerlano_act_iii,tamerlano_act_iii_track_7,7,classical/the_english_concert_with_trevor_pinnock/handel_tamerlano_act_iii/7-tamerlano_act_iii_track_7.wav
classical,ensemble_sreteniye,ancient_church_singing_of_byzantine_georgia_and_rus,alleluia_georgian_chant,3,classical/ensemble_sreteniye/ancient_church_singing_of_byzantine_georgia_and_rus/3-alleluia_georgian_chant.wav
classical,ensemble_sreteniye,ancient_church_singing_of_byzantine_georgia_and_rus,fragment_from_the_divine_liturgy_strochnoy_chant,8,classical/ensemble_sreteniye/ancient_church_singing_of_byzantine_georgia_and_rus/8-fragment_from_the_divine_liturgy_strochnoy_chant.wav
classical,ensemble_sreteniye,ancient_church_singing_of_byzantine_georgia_and_rus,praise_ye_the_name_of_the_lord_bulgarian_and_bizantine,14,classical/ensemble_sreteniye/ancient_church_singing_of_byzantine_georgia_and_rus/14-praise_ye_the_name_of_the_lord_bulgarian_and_bizantine.wav
classical,ensemble_sreteniye,ancient_church_singing_of_byzantine_georgia_and_rus,to_thee_we_sing_bulgarian_chant_tone_legetos,1,classical/ensemble_sreteniye/ancient_church_singing_of_byzantine_georgia_and_rus/1-to_thee_we_sing_bulgarian_chant_tone_legetos.wav
classical,ensemble_sreteniye,don_t_cry_rachael,father_and_the_son_byzantine_chant,5,classical/ensemble_sreteniye/don't_cry_rachael/5-the_father_and_the_son_(byzantine_chant).wav
classical,ensemble_sreteniye,don_t_cry_rachael,to_thee_o_theotokos_bulgarian_chant,3,classical/ensemble_sreteniye/don't_cry_rachael/3-to_thee_o_theotokos_(bulgarian_chant).wav
classical,gleusteen_and_ordronneau,grieg_dvorak_franck,antonin_dvorak_violin_sonatin,5,classical/gleusteen_and_ordronneau/grieg_-_dvorak_-_franck/5-antonin_dvorak_violin_sonatin.wav
classical,gleusteen_and_ordronneau,grieg_dvorak_franck,cesar_franck_sonata_for_violi,11,classical/gleusteen_and_ordronneau/grieg_-_dvorak_-_franck/11-cesar_franck_sonata_for_violi.wav
classical,gleusteen_and_ordronneau,grieg_dvorak_franck,edvard_grieg_violin_sonata_no,2,classical/gleusteen_and_ordronneau/grieg_-_dvorak_-_franck/2-edvard_grieg_violin_sonata_no.wav
classical,gonzalo_x_ruiz,imported_from_italy,adagio_sonata_for_oboe_and_ba,5,classical/gonzalo_x_ruiz/imported_from_italy/5-adagio_sonata_for_oboe_and_ba.wav
classical,gonzalo_x_ruiz,imported_from_italy,allegro_sonata_for_oboe_and_b,2,classical/gonzalo_x_ruiz/imported_from_italy/2-allegro_sonata_for_oboe_and_b.wav
classical,gonzalo_x_ruiz,imported_from_italy,allegro_sonata_for_violoncell,12,classical/gonzalo_x_ruiz/imported_from_italy/12-allegro_sonata_for_violoncell.wav
